id,provider,provider_id,lon,lat
1000428,1,0166235818,-78.2732222,38.75605556
1000429,1,15106972,-135.204002,57.6949353
1000430,1,09496700,-110.31122,33.9881032
1000431,1,103087892,-119.6540613,38.71240619
1000432,1,10359490,-120.3232762,40.7448984
1000433,1,11375600,-122.6039033,40.47765015
1000434,1,07103788,-104.8616466,39.00860366
1000435,1,01189130,-72.8673222,41.81482056
1000436,1,01200550,-73.4592898,41.7170388
1000437,1,02279517,-80.0633753,26.48396168
1000438,1,023156044,-82.9201319,30.40827624
1000439,1,02336139,-84.21888889,33.84527778
1000440,1,335043084130701,-84.2188056,33.84530556
1000441,1,16533000,-156.2063528,20.82236389
1000442,1,13205650,-116.2242856,43.6509998
1000443,1,05528475,-87.9706284,42.17502516
1000444,1,02491600,-90.133419,30.8940718
1000445,1,07372800,-92.4168054,31.5779527
1000446,1,01112286,-71.4625603,42.0534312
1000447,1,02429944,-88.3656023,34.62481725
1000448,1,02429946,-88.373658,34.66064967
1000449,1,384219090465501,-90.7820744,38.7053304
1000450,1,404432097111100,-97.1867086,40.742229
1000451,1,01381510,-74.4480556,40.8186111
1000452,1,0137464640,-73.664018,41.44842705
1000453,1,0137491450,-73.6976308,41.2406501
1000454,1,04256470,-74.9451804,43.8756208
1000455,1,04256475,-74.9493473,43.8761764
1000456,1,0208730025,-78.6166695,35.8440396
1000457,1,0209330990,-79.721975,36.2279128
1000458,1,0210367030,-78.8672471,35.1004414
1000459,1,0212429935,-80.6928466,35.21903268
1000460,1,0214635212,-80.9136111,35.1158333
1000461,1,360224079524801,-79.88,36.04
1000462,1,03140020,-81.8009644,40.36617928
1000463,1,394839081463000,-81.77485369,39.810905
1000464,1,07231982,-95.8341584,34.84815175
1000465,1,01480913,-75.6823833,39.95540278
1000466,1,03070416,-79.5825434,39.7600764
1000467,1,03072470,-79.9297222,39.77166667
1000468,1,03082375,-79.64,39.8808333
1000469,1,401607076275401,-76.4646876,40.2687036
1000470,1,06358620,-103.5493575,45.2224914
1000471,1,034339008,-87.1691667,35.92
1000472,1,03601624,-87.0961111,35.87416667
1000473,1,07024188,-88.3356019,36.08089378
1000474,1,353632088501800,-88.8383333,35.60888889
1000475,1,07227465,-102.2846111,35.5824
1000476,1,08091200,-98.0003146,32.35708307
1000477,1,011398302,-72.3012074,44.06478715
1000478,1,0166235601,-78.27863889,38.75816667
1000479,1,0166817321,-77.2782833,38.1701
1000480,1,06372000,-104.9005239,43.44997106
1000481,1,16900000,-170.5734389,-14.25421944
1000482,1,16903000,-170.5826056,-14.25449722
1000483,1,16907000,-170.6037167,-14.26005
1000484,1,16955500,-170.658161,-14.28782778
1000485,1,3506570820116,-82.0211111,35.1158333
1000486,1,0166235821,-78.2727778,38.75569444
1000487,1,02035555,-77.8925556,37.69675
1000488,1,0165398670,-77.2345806,38.8443333
1000489,1,360429078570701,-78.952,36.07463889
1000490,1,01135070,-72.1611944,44.49188889
1000491,1,0166261901,-78.2640556,38.7547222
1000492,1,01630579,-78.3636111,38.705
1000493,1,0166235604,-78.2785278,38.75780556
1000494,1,01630577,-78.3597222,38.705
1000495,1,0166261904,-78.2637778,38.75441667
1000496,1,0204275490,-76.8502401,37.3559801
1000497,1,01644290,-77.3713748,38.94927725
1000498,1,321930110582901,-110.9753738,32.32507456
1000499,1,07263563,-92.4004325,34.7534252
1000500,1,07363089,-92.8082246,34.4653694
1000501,1,07364550,-92.6079312,33.18957456
1000502,1,06720100,-104.9883138,39.8763744
1000503,1,012038481,-73.1934464,41.52731825
1000504,1,02237176,-81.86702389,28.72388166
1000505,1,02305200,-82.5009288,28.12140349
1000506,1,274605081460200,-81.7670262,27.7683632
1000507,1,16554500,-156.2199639,20.82792222
1000508,1,03344425,-88.2939314,39.19948398
1000509,1,05549900,-88.2650828,42.1966908
1000510,1,05563100,-89.775104,40.7944815
1000511,1,03274730,-85.0988531,39.9106021
1000512,1,03302690,-86.0371975,38.54561454
1000513,1,0333075050,-85.7736004,41.325046
1000514,1,033763443,-87.1775044,38.24977277
1000515,1,07376790,-90.9306579,30.95573453
1000516,1,08023120,-93.8793538,31.97377715
1000517,1,383026077014701,-77.0298611,38.50738889
1000518,1,01105740,-70.8222639,42.1145459
1000519,1,01112270,-71.4608938,42.07704207
1000520,1,01112289,-71.4731161,42.0420424
1000521,1,01168640,-72.77759308,42.5992514
1000522,1,0728711610,-90.2361111,33.4172222
1000523,1,07289641,-90.1681427,32.56680606
1000524,1,384215090462501,-90.7737407,38.70421937
1000525,1,06881250,-97.1797596,40.30500175
1000526,1,10246910,-116.4012694,38.53000278
1000527,1,01387770,-74.22388889,41.04666667
1000528,1,01455395,-74.6569444,40.9311111
